iter	Passed	Remaining
470	885	994
471	886	991
472	887	989
473	889	986
474	890	984
475	891	981
476	892	978
477	893	976
478	895	973
479	896	971
480	897	968
481	899	966
482	901	964
483	902	961
484	903	959
485	904	956
486	905	954
487	906	951
488	907	948
489	909	946
490	910	944
491	912	941
492	913	939
493	915	937
494	917	935
495	919	933
496	920	931
497	921	928
498	922	926
499	923	923
500	924	921
501	926	918
502	927	916
503	928	913
504	933	914
505	935	912
506	936	910
507	937	908
508	939	906
509	940	903
510	942	901
511	943	899
512	945	897
513	947	895
514	948	893
515	949	890
516	950	888
517	952	886
518	953	883
519	954	881
520	955	878
521	957	876
522	958	874
523	959	871
524	961	869
525	963	867
526	964	865
527	965	863
528	966	860
529	967	858
530	968	855
531	970	853
532	971	851
533	972	848
534	974	846
535	975	844
536	977	843
537	979	840
538	980	838
539	981	836
540	982	834
541	984	831
542	985	829
543	986	826
544	987	824
545	988	822
546	989	819
547	991	817
548	993	816
549	995	814
550	996	811
551	997	809
552	998	807
553	999	804
554	1000	802
555	1002	800
556	1003	798
557	1004	795
558	1005	793
559	1008	792
560	1011	791
561	1012	789
562	1014	787
563	1015	784
564	1016	782
565	1017	780
566	1019	778
567	1020	776
568	1021	773
569	1024	772
570	1025	770
571	1026	768
572	1028	766
573	1029	763
574	1030	761
575	1031	759
576	1032	757
577	1034	754
578	1035	752
579	1036	750
580	1037	748
581	1039	746
582	1041	744
583	1042	742
584	1043	740
585	1045	738
586	1046	736
587	1047	733
588	1048	731
589	1050	729
590	1051	727
591	1052	725
592	1053	722
593	1055	721
594	1056	719
595	1058	717
596	1059	715
597	1060	712
598	1061	710
599	1063	708
600	1064	706
601	1065	704
602	1066	702
603	1067	700
604	1068	697
605	1071	696
606	1072	694
607	1073	692
608	1075	690
609	1076	688
610	1077	685
611	1078	683
612	1080	681
613	1081	679
614	1082	677
615	1083	675
616	1084	673
617	1086	671
618	1088	669
619	1089	667
620	1090	665
621	1091	663
622	1093	661
623	1094	659
624	1095	657
625	1096	655
626	1097	653
627	1099	651
628	1100	648
629	1102	647
630	1104	645
631	1105	643
632	1106	641
633	1107	639
634	1109	637
635	1110	635
636	1111	633
637	1112	631
638	1114	629
639	1115	627
640	1118	626
641	1120	624
642	1121	622
643	1123	620
644	1124	618
645	1125	616
646	1126	614
647	1127	612
648	1128	610
649	1130	608
650	1131	606
651	1133	604
652	1134	603
653	113656	11654	113657	11655	113658	11656	1140	595
657	1141	593
658	1142	591
659	1143	589
660	1144	587
661	1146	585
662	1147	583
663	114666	11664	115667	11665	115668	11666	115669	11667	115670	11668	115671	11669	115672	11670	115673	11671	115674	11672	115675	11673	116676	1145	546
677	11675	116678	11676	116679	11677	116680	11678	116681	11679	116682	11680	117683	11681	117684	11682	117685	11683	117686	11684	117687	1160	526
688	1164	525
689	11687	118690	11688	118691	11689	118692	11690	118693	11691	118694	11692	118695	11693	119696	11694	119697	11695	119698	1178	507
699	1180	505
700	1181	503
701	1182	502
702	1183	500
703	1185	498
704	1186	496
705	1187	494
706	1189	492
707	1190	490
708	1191	489
709	1192	487
710	11708	1215	498
709	1217	497
710	1218	495
711	1220	493
712	1221	491
713	1223	489
714	1224	488
715	1227	486
716	1229	485
717	1231	483
718	1232	481
719	1233	479
720	1235	478
721	1236	476
722	1238	474
723	1239	472
724	1241	470
725	1243	469
726	1245	467
727	1247	465
728	1248	464
729	1250	462
730	1251	460
731	1252	458
732	1253	456
733	1254	454
734	1255	452
735	1258	451
736	1259	449
737	1261	447
738	1262	446
739	1264	444
740	1265	442
741	1267	440
742	1268	438
743	1270	437
744	1271	435
745	1274	434
746	1276	432
747	1277	430
748	1279	428
749	1280	426
750	1282	425
751	1283	423
752	1285	421
753	1286	419
754	1289	418
755	1291	416
756	1292	414
757	1294	413
758	1295	411
759	1297	409
760	1298	407
761	1299	405
762	1301	404
763	1302	402
764	1305	401
765	1307	399
766	1309	397
767	1310	395
768	1312	394
769	1313	392
770	1314	390
771	1315	388
772	1317	386
773	1321	385
774	1322	384
775	1324	382
776	1325	380
777	1326	378
778	1327	376
779	1328	374
780	1330	372
781	1331	371
782	1332	369
783	1333	367
784	1336	365
785	1337	364
786	1338	362
787	1340	360
788	1341	358
789	1342	356
790	1343	355
791	1344	353
792	1346	351
793	1347	349
794	1348	347
795	1350	346
796	1350	343
797	1352	342
798	1353	340
799	1354	338
800	1354	336
