iter	RMSE
0	34.54391585
1	41.48646956
2	41.16671671
3	32.139590564	40.41665013
5	40.11118383
6	39.7349042577	39.4302564288	39.0993800899	38.75257847110	38.39876891111	38.1707732212	30.51232738
13	30.35154245
14	37.30219937
15	36.99574335
16	36.65846745
17	36.40213004118	36.10051391119	35.80940348220	35.50207755221	35.2562802422	28.8003182
223	29.234688532224	34.29039292225	34.00909932226	33.73830212227	33.44817242828	33.2210602929	32.98308613030	32.667752
31	32.43368728
32	32.22410092
33	31.94099592
34	31.68891117
35	31.37471434
36	31.10064063
37	30.8455569938	26.29054402
39	26.12615923
440	30.22749523441	29.95608881442	29.6532586
43	29.44934701
44	29.2083310145	25.13397604
46	24.95653624
47	24.76930066
48	28.30660778
49	24.41224637
50	24.27419117
51	24.12078871
52	23.93819599
53	23.78871722
54	23.63066806
55	23.46535954
56	23.24405378
57	23.11514143
58	22.96189276
59	22.77904448
60	22.65448945
61	25.60313497
62	25.38898889
63	25.22296991
64	25.06624093
65	24.88496436666	24.64424222667	24.45193315668	24.28417731669	24.11319587770	23.95386243771	23.76947142772	23.59209844773	23.36838777474	23.224493775	20.57388927
76	20.45245594
77	20.30354305
78	20.13735273
79	19.99994998
80	19.85608396
81	19.74232224
82	19.59614999
83	19.42810584	20.06538072
85	19.93022772
86	19.84582415
87	19.69975437
88	19.62623513
89	19.50425813
90	19.41477932
91	19.29883848
92	19.20021291
93	19.07469521
94	18.93924403
95	18.80171021
96	18.6786043
97	18.56294434
98	18.49316014
99	18.37917078
100	18.24157481
101	18.10333932
102	17.93569829
103	17.80433194
104	17.69596431
105	17.59266559
106	17.50011384
107	17.40841327
108	17.27422511
109	17.15513977
110	17.05864095
111	16.94200784
112	16.8648685
113	16.75495901
114	16.66430375
115	16.57134528
116	16.45833812
117	117	15.55896491
118	15.45577483
119	15.36261799
120	15.25289183
121	15.13304122	122	15.04379123	123	14.95125124	124	14.831125	15125	14.729126	1126	14.6059127	1127	14.5065128	1128	14.3931129	1129	14.2604130	1130	14.1824131	1131	14.1088132	132	14.05632133	14.6974018
134	14.60536403
135	14.52319518
136	14.46224838
137	14.36387144
138	14.25585073
139	14.19068746
140	14.14749269
141	14.061279
142	13.94449825
143	13.89220817
144	13.80342425
145	13.71209679
146	13146	12.82147	13.147	12.71148	13.148	12.63149	13.39456852
150	13.30180084
151	13.22287735
152	13.18761015
153	13.10405222
154	13.02978955
155	12.95839228
156	12.87292628
157	12.79551302
158	12.69950468
159	12.61153479
160	12.537891851161	12.46096932
162	12.39592821
163	12.3247977
164	12.22671436
165	12.1357004
166	12.05826349
167	11.97577536
168	11.8947045
169	11.82066352
170	11.74289874
171	11.63940853
172	11.6017791
173	11.50994501
174	11.43800478
175	11.36547772
176	11.29862486
177	11.21666622
178	11.12894482
179	11.06087898
180	10.98005443
181	10.90648666
182	10.80218668
183	10.72430329
184	10.66037705
185	10.60496324
186	10.54270157
187	10.46228523
188	10.42480639
189	10.35017025
190	10.28738382
191	10.19101168
192	10.16382173
193	10.10022058
194	10.04696753
195	9.979579011
196	9.915741159
197	9.821984502
198	9.737612484
199	9.684808871
200	9.609660928
201	9.53489408
202	9.505143658
203	9.441949081
204	9.35520753
205	9.270916853
206	9.232259996
207	9.157071898
208	9.063983452
209	8.982156359
210	8.906749857
211	8.831958165
212	8.777820511
213	8.733377215
214	8.675346443
215	8.596201742
216	8.533749558
217	8.465674759
218	8.389123726
219	8.334535537
220	8.267996632
221	8.207129557
222	8.162108011
223	8.105682449
224	8.060917443
225	7.990163253
226	7.960332179
227	7.933976661
228	7.911382361
229	7.897585932
230	7.850022011
231	7.793732379
232	7.730999485
233	7.674353962
234	7.634760758
235	7.569754121
236	7.532974043
237	7.467127276
238	7.402719071
239	7.344936244
240	7.310494346
241	7.254381324
242	7.205319889
243	7.1791731
244	7.149679052
245	7.1252432
246	7.058425163
247	7.004707931
248	6.957400081
249	6.923808547
250	6.870939602
251	6.859603481
252	6.833686991
253	6.785339887
254	6.746252718
255	6.714594748
256	6.650294844
257	6.600822565
258	6.572546632
259	6.521516499
260	6.469698222
261	6.407057921
262	6.33859268
263	6.286297206
264	6.276212252
265	6.242595833
266	6.186331503
267	6.171616067
268	6.141907379
269	6.104478785
270	6.080921865
271	6.051202479
272	6.039817319
273	5.993734701
274	5.929999992
275	5.909826412
276	5.877293133
277	5.837514978
278	5.811789219
279	5.778177226
280	5.760733432
281	5.728764836
282	5.708450387
283	5.69437608
284	5.677809211
285	5.649693518
286	5.618625835
287	5.559659718
288	5.540540159
289	5.524261573
290	5.462383402
291	5.443975718
292	5.422316959
293	5.407720566
294	5.390430588
295	5.354301493
296	5.336899395
297	5.319809974
298	5.290362873
299	5.276182462
300	5.229172441
301	5.182633552
302	5.132074592
303	5.09928518
304	5.054537889
305	5.027957228
306	4.98121957
307	4.94743046
308	4.920246988
309	4.893295522
310	4.875763301
311	4.826288304
312	4.796492495
313	4.777408931
314	4.747214192
315	4.72242412
316	4.697096918
317	4.656904393
318	4.614745971
319	4.57284238
320	4.565139097
321	4.526988075
322	4.507861975
323	4.489174919
324	4.470890988
325	4.429982246
326	4.422687275
327	4.415489206
328	4.40036975
329	4.369399921
330	4.332583887
331	4.29463191
332	4.259314231
333	4.224039135
334	4.197453936
335	4.175010962
336	4.151046636
337	4.114062746
338	4.090913082
339	4.083170343
340	4.055014294
341	4.027326416
342	4.020892724
343	3.994797089
344	3.969103199
345	3.936231786
346	3.930046175
347	3.895411921
348	3.889350348
349	3.855360379
350	3.823995468
351	3.807577607
352	3.784381904
353	3.755128835
354	3.748352765
355	3.723828891
356	3.691255135
357	3.675796816
358	3.670253146
359	3.648317862
360	3.626979024
361	3.621549733
362	3.599363734
363	3.584455748
364	3.561716097
365	3.540174303
366	3.515314794
367	3.494989921
368	3.47314426
369	3.443968252
370	3.424523495
371	3.399882714
372	3.386626428
373	3.373322702
374	3.354691023
375	3.341754624
376	3.323122943
377	3.315424556
378	3.309778903
379	3.293844006
380	3.278251987
381	3.253737266
382	3.237176561
383	3.213174973
384	3.189557058
385	3.17227346
386	3.155415742
387	3.139514672
388	3.122379873
389	3.099812483
390	3.083370449
391	3.06857806
392	3.055389027
393	3.034723322
394	3.023625548
395	3.001681626
396	2.985668422
397	2.970051713
398	2.954300403
399	2.943654696
400	2.922764643
401	2.899089822
402	2.879668669
403	2.866145887
404	2.859063124
405	2.842154131
406	2.819782053
407	2.799201533
408	2.779167817
409	2.76489295
410	2.758159702
411	2.738974433
412	2.715658528
413	2.69607446
414	2.677063332
415	2.657845356
416	2.63555091
417	2.616939646
418	2.596923883
419	2.57890697
420	2.55946997
421	2.542135367
422	2.525403394
423	2.512012084
424	2.489411256
425	2.476484189
426	2.463870511
427	2.448649494
428	2.42659222
429	2.412539053
430	2.404254136
431	2.39231231
432	2.386560391
433	2.365337511
434	2.35505474
435	2.347186311
436	2.334101843
437	2.324768687
438	2.3088131
439	2.302180567
440	2.291710284
441	2.28080089
442	2.274464364
443	2.27104831
444	2.261634067
445	2.246215169
446	2.227908176
447	2.212955315
448	2.204194803
449	2.18951484
450	2.17426673
451	2.162394679
452	2.157279607
453	2.148865586
454	2.136410042
455	2.127163581
456	2.122225086
457	2.117628247
458	2.102149461
459	2.087458954
460	2.075087483
461	2.063024309
462	2.048814462
463	2.033709451
464	2.022852277
465	2.015170309
466	2.000471679
467	1.986059931
468	1.971749095
469	1.958007824
470	1.944614412
471	1.931397087
472	1.922531464
473	1.908826785
474	1.89970496
475	1.88560933
476	1.873146896
477	1.860020027
478	1.847150038
479	1.834349722
480	1.817381782
481	1.804996943
482	1.792655331
483	1.780467831
484	1.766489499
485	1.755795304
486	1.738927677
487	1.722413248
488	1.709081359
489	1.693065163
490	1.681058862
491	1.670681646
492	1.662672598
493	1.652575166
494	1.644014226
495	1.635449281
496	1.625371233
497	1.617827793
498	1.606995855
499	1.597260198
500	1.592004369
501	1.583995327
502	1.578871809
503	1.568733597
504	1.563731465
505	1.551873035
506	1.543321506
507	1.531754521
508	1.522653572
509	1.511367211
510	1.502513095
511	1.494334152
512	1.489600188
513	1.481666408
514	1.470623073
515	1.466047648
516	1.460423195
517	1.449735524
518	1.442756539
519	1.432381831
520	1.422016412
521	1.412891188
522	1.405413678
523	1.397168213
524	1.388623993
525	1.383408539
526	1.373674927
527	1.366548613
528	1.35814493
529	1.348820213
530	1.341120621
531	1.332993928
532	1.326178166
533	1.31819807
534	1.312660592
535	1.30254265
536	1.292628655
537	1.289829972
538	1.286816692
539	1.279147533
540	1.27288649
541	1.264382154
542	1.255506011
543	1.24672177
544	1.238135122
545	1.22962561
546	1.221319549
547	1.214321215
548	1.20753933
549	1.20014591
550	1.192925967
551	1.185851311
552	1.180734507
553	1.172829202
554	1.165826821
555	1.158390538
556	1.151127008
557	1.144513375
558	1.139618259
559	1.134576401
560	1.129857481
561	1.122067728
562	1.115129145
563	1.10776805
564	1.100639583
565	1.096112238
566	1.089447512
567	1.083835095
568	1.076780564
569	1.071104917
570	1.064201422
571	1.058019947
572	1.051251106
573	1.042967257
574	1.038694237
575	1.032440797
576	1.028300502
577	1.021786185
578	1.015830309
579	1.00930711
580	1.002986512
